date,publish_date,equity_pcr,equity_pcr_pctl,is_proxy,source
2021-08-17,2021-08-17,0.6686,24.6,True,vix_derived_proxy
2021-08-18,2021-08-18,0.7235,49.4,True,vix_derived_proxy
2021-08-19,2021-08-19,0.7251,51.59,True,vix_derived_proxy
2021-08-20,2021-08-20,0.6784,29.76,True,vix_derived_proxy
2021-08-23,2021-08-23,0.6572,16.27,True,vix_derived_proxy
2021-08-24,2021-08-24,0.6583,17.46,True,vix_derived_proxy
2021-08-25,2021-08-25,0.6519,13.29,True,vix_derived_proxy
2021-08-26,2021-08-26,0.6826,33.13,True,vix_derived_proxy
2021-08-27,2021-08-27,0.6458,8.53,True,vix_derived_proxy
2021-08-30,2021-08-30,0.6429,6.75,True,vix_derived_proxy
2021-08-31,2021-08-31,0.6472,10.71,True,vix_derived_proxy
2021-09-01,2021-09-01,0.6417,4.76,True,vix_derived_proxy
2021-09-02,2021-09-02,0.6461,9.92,True,vix_derived_proxy
2021-09-03,2021-09-03,0.6461,10.12,True,vix_derived_proxy
2021-09-07,2021-09-07,0.6721,30.56,True,vix_derived_proxy
2021-09-08,2021-09-08,0.6694,28.97,True,vix_derived_proxy
2021-09-09,2021-09-09,0.682,35.71,True,vix_derived_proxy
2021-09-10,2021-09-10,0.7143,49.01,True,vix_derived_proxy
2021-09-13,2021-09-13,0.6906,39.68,True,vix_derived_proxy
2021-09-14,2021-09-14,0.6919,40.67,True,vix_derived_proxy
2021-09-15,2021-09-15,0.6727,31.75,True,vix_derived_proxy
2021-09-16,2021-09-16,0.6804,35.71,True,vix_derived_proxy
2021-09-17,2021-09-17,0.7121,49.6,True,vix_derived_proxy
2021-09-20,2021-09-20,0.7856,82.94,True,vix_derived_proxy
2021-09-21,2021-09-21,0.7654,78.17,True,vix_derived_proxy
2021-09-22,2021-09-22,0.7131,50.6,True,vix_derived_proxy
2021-09-23,2021-09-23,0.6794,35.32,True,vix_derived_proxy
2021-09-24,2021-09-24,0.6662,26.39,True,vix_derived_proxy
2021-09-27,2021-09-27,0.6814,37.3,True,vix_derived_proxy
2021-09-28,2021-09-28,0.7488,74.4,True,vix_derived_proxy
2021-09-29,2021-09-29,0.7384,68.45,True,vix_derived_proxy
2021-09-30,2021-09-30,0.7471,73.81,True,vix_derived_proxy
2021-10-01,2021-10-01,0.7165,53.17,True,vix_derived_proxy
2021-10-04,2021-10-04,0.7444,71.83,True,vix_derived_proxy
2021-10-05,2021-10-05,0.7195,56.15,True,vix_derived_proxy
2021-10-06,2021-10-06,0.715,53.17,True,vix_derived_proxy
2021-10-07,2021-10-07,0.6931,43.65,True,vix_derived_proxy
2021-10-08,2021-10-08,0.6816,37.7,True,vix_derived_proxy
2021-10-11,2021-10-11,0.7,47.22,True,vix_derived_proxy
2021-10-12,2021-10-12,0.6978,46.83,True,vix_derived_proxy
2021-10-13,2021-10-13,0.6796,36.11,True,vix_derived_proxy
2021-10-14,2021-10-14,0.6529,16.27,True,vix_derived_proxy
2021-10-15,2021-10-15,0.6445,8.33,True,vix_derived_proxy
2021-10-18,2021-10-18,0.6446,8.73,True,vix_derived_proxy
2021-10-19,2021-10-19,0.6355,2.78,True,vix_derived_proxy
2021-10-20,2021-10-20,0.6323,1.59,True,vix_derived_proxy
2021-10-21,2021-10-21,0.6252,0.4,True,vix_derived_proxy
2021-10-22,2021-10-22,0.6315,1.19,True,vix_derived_proxy
2021-10-25,2021-10-25,0.6286,1.19,True,vix_derived_proxy
2021-10-26,2021-10-26,0.6397,5.95,True,vix_derived_proxy
2021-10-27,2021-10-27,0.6547,20.63,True,vix_derived_proxy
2021-10-28,2021-10-28,0.648,15.48,True,vix_derived_proxy
2021-10-29,2021-10-29,0.6439,10.71,True,vix_derived_proxy
2021-11-01,2021-11-01,0.6461,13.89,True,vix_derived_proxy
2021-11-02,2021-11-02,0.6405,6.75,True,vix_derived_proxy
2021-11-03,2021-11-03,0.6265,1.19,True,vix_derived_proxy
2021-11-04,2021-11-04,0.6316,2.38,True,vix_derived_proxy
2021-11-05,2021-11-05,0.6472,17.26,True,vix_derived_proxy
2021-11-08,2021-11-08,0.6583,27.18,True,vix_derived_proxy
2021-11-09,2021-11-09,0.6667,34.13,True,vix_derived_proxy
2021-11-10,2021-11-10,0.6809,45.24,True,vix_derived_proxy
2021-11-11,2021-11-11,0.6649,32.54,True,vix_derived_proxy
2021-11-12,2021-11-12,0.6444,12.3,True,vix_derived_proxy
2021-11-15,2021-11-15,0.6473,18.25,True,vix_derived_proxy
2021-11-16,2021-11-16,0.6456,14.29,True,vix_derived_proxy
2021-11-17,2021-11-17,0.6567,26.59,True,vix_derived_proxy
2021-11-18,2021-11-18,0.6639,33.33,True,vix_derived_proxy
2021-11-19,2021-11-19,0.6686,38.69,True,vix_derived_proxy
2021-11-22,2021-11-22,0.6876,52.38,True,vix_derived_proxy
2021-11-23,2021-11-23,0.6907,53.97,True,vix_derived_proxy
2021-11-24,2021-11-24,0.6787,45.63,True,vix_derived_proxy
2021-11-26,2021-11-26,0.8293,98.02,True,vix_derived_proxy
2021-11-29,2021-11-29,0.7444,84.33,True,vix_derived_proxy
2021-11-30,2021-11-30,0.8079,96.43,True,vix_derived_proxy
2021-12-01,2021-12-01,0.8668,99.21,True,vix_derived_proxy
2021-12-02,2021-12-02,0.8193,96.63,True,vix_derived_proxy
2021-12-03,2021-12-03,0.8601,98.81,True,vix_derived_proxy
2021-12-06,2021-12-06,0.8077,94.84,True,vix_derived_proxy
2021-12-07,2021-12-07,0.7283,74.21,True,vix_derived_proxy
2021-12-08,2021-12-08,0.6985,59.52,True,vix_derived_proxy
2021-12-09,2021-12-09,0.7237,71.83,True,vix_derived_proxy
2021-12-10,2021-12-10,0.6804,47.82,True,vix_derived_proxy
2021-12-13,2021-12-13,0.7046,62.3,True,vix_derived_proxy
2021-12-14,2021-12-14,0.7283,75.6,True,vix_derived_proxy
2021-12-15,2021-12-15,0.6894,53.97,True,vix_derived_proxy
2021-12-16,2021-12-16,0.7085,63.1,True,vix_derived_proxy
2021-12-17,2021-12-17,0.7235,72.62,True,vix_derived_proxy
2021-12-20,2021-12-20,0.7431,82.14,True,vix_derived_proxy
