date,flow_in_ex_mcap_z90,flow_net_ex_mcap_z90,flow_in_ex_mcap,flow_net_ex_mcap,CapMVRVCur,CapMrktCurUSD
2020-09-29,0.9243305061155301,1.0495061819267824,0.002649705412472344,0.0003323038320608326,1.71621999,198483977030.0451
2020-09-30,0.8426908726815644,-0.21997057127962064,0.0025896959685124416,-0.00013567311386388918,1.73140353,200598525114.73715
2020-10-01,0.04648525534386184,0.6635532348399776,0.002024985082245775,0.0001914629592591721,1.71995233,199336157853.55048
2020-10-02,0.3734883619209713,-0.9315793208976364,0.0022650820693514437,-0.0003839708209949206,1.69356781,196277557842.57623
2020-10-05,-1.595867860448908,0.14005899740161257,0.0008327493543213978,6.934338706330279e-07,1.70216949,197399052168.17535
2020-10-06,-0.33530321182643774,-0.5397031891678958,0.0017419081539125864,-0.00024882298457931754,1.71835152,199389146257.06775
2020-10-07,-0.28853450815170933,0.7009208848658974,0.001784491275766062,0.00019404313891135274,1.69012311,196135347147.17117
2020-10-08,0.06139274430298704,-2.8064400524805855,0.002035829018884814,-0.0010954844865231218,1.70039927,197456284574.17596
2020-10-09,0.42779964426418055,1.4044193198041266,0.0022648676743709227,0.0004535828917970528,1.73638098,201823517432.12747
2020-10-12,-1.659530435414462,0.33748963248732644,0.0008017875422369766,6.37792846893702e-05,1.80770338,210660289442.9037
2020-10-13,-0.03450069413426636,0.8091232432439086,0.001931847009853403,0.00023691568617506997,1.83284911,213821025341.3694
2020-10-14,-0.412226869068179,-0.11214751943883229,0.0016839302772891174,-0.00010298667044431162,1.81348383,211732652073.08148
2020-10-15,-0.02061608400711921,-0.4595056936985146,0.0019367375585402377,-0.00023156962176762924,1.80880169,211412571561.06912
2020-10-16,-0.6929045549944505,-1.9543022410309552,0.0014869387564554078,-0.0008025184365153292,1.82050458,213006147807.5566
2020-10-19,-2.0070633284999233,0.0034381062928847336,0.0005644130890949727,-7.060756053371429e-05,1.81665683,212797199544.3845
2020-10-20,-0.22312228658865926,-0.33579631597688725,0.0017785036026628912,-0.00019652963230690456,1.85166488,217551213059.644
2020-10-21,-0.28184016917943944,0.1660808504537867,0.001753943018422803,-8.392639890121632e-06,1.87699868,220963353768.35657
2020-10-22,1.5654015308556992,1.1396361085019764,0.0030191101809283615,0.00036284772736274584,2.013415,237996587309.02545
2020-10-23,1.3429560660875475,-0.16867141180595305,0.002888494730984494,-0.00013063408744769364,2.02018679,240767851351.29196
2020-10-26,-1.761923755310964,0.028133177296541,0.0007279059064523648,-5.6883931896852665e-05,2.01568826,241618117679.51013
2020-10-27,-0.2810176291542346,-0.4264586733646022,0.0017657722759747462,-0.0002178940264933093,2.01954164,242349930927.49588
2020-10-28,-0.4134867068528015,-1.1552684610306263,0.0016884646068097953,-0.0004955825233574588,2.10370037,253379717438.13687
2020-10-29,0.7165937294444967,0.773701026589868,0.0024693816742147137,0.00022219218265090784,2.04049323,246251140475.4076
2020-10-30,0.42379647444197377,0.5557726943919368,0.00225685001227781,0.00014710570052695374,2.06357066,249685959749.5563
2020-11-02,-1.5081121644985662,0.3925073621466695,0.0009215521481731655,8.786133101922931e-05,2.09316771,254564701609.4508
2020-11-03,-0.4820914491804432,-3.0283987646906954,0.0016187213064339232,-0.001253756343060884,2.06586073,251953637578.66876
2020-11-04,0.37870746430579344,-1.3965964463525988,0.002221680921331336,-0.0006310702692615503,2.09497527,259403733547.6545
2020-11-05,-0.03025996279831471,-0.5451340304918969,0.001945753269027949,-0.00029953478733116956,2.10823433,261868434425.51367
2020-11-06,2.5817470639220965,0.8615084940562509,0.003804435815987073,0.0002613274348851742,2.30749272,289263271222.87427
2020-11-09,-1.6012716173131847,-0.13907079726580923,0.000838095301944393,-0.00014016194665606002,2.26976446,287332273623.7842
2020-11-10,0.7333577306804827,-1.3141969077051063,0.0025130695580890183,-0.000614198315594135,2.23751677,284009875050.116
2020-11-11,0.852912432486405,-0.186471354118068,0.0026068041014989836,-0.00017227906439486052,2.23228692,284013859076.82196
2020-11-12,0.42373151522126584,0.047709820999829546,0.002310483623671216,-7.883875656544216e-05,2.28563276,291666002991.4365
2020-11-13,0.5855619360925186,-0.8754531251809499,0.002407565644350313,-0.00045018118687175713,2.35643005,302038563120.44165
2020-11-16,-1.9289414013836594,-0.7520696295567554,0.0006227329680122232,-0.00040879849254271347,2.29883051,296462424309.67584
2020-11-17,0.22161349593973706,-0.7041807515388943,0.002156875600171405,-0.00039486656628592317,2.39979607,310504166190.32697
2020-11-18,1.1958586298722875,1.886331321350477,0.0028492899518889852,0.0006444662788154903,2.51738625,327937646387.3307
2020-11-19,1.796011339362372,0.05408981887252791,0.0033079868502315416,-8.807838587556813e-05,2.51023261,330228752696.0765
2020-11-20,-0.28619916589477795,0.414864028163637,0.0018267650647183034,5.718994744454851e-05,2.504430386254,330503275790.7681
2020-11-23,-1.1536097018765457,0.11058829554062857,0.001196815074084606,-6.490301754976977e-05,2.55377715,342878718720.17664
2020-11-24,0.6265141079970489,1.2209805750848441,0.0024834666157096236,0.000387318863241847,2.52775968,340865435612.13654
2020-11-25,1.1553926994444559,0.4379332246185395,0.0028755762337788543,6.977251173097367e-05,2.61774563,355296694015.8318
2020-11-27,2.893238888901478,2.657305987152047,0.00424440640422222,0.001012225977244952,2.326869284941,317545276569.0719
2020-11-30,-1.289302747209874,-0.2338437520875702,0.0010921112152699464,-0.000198807736936936,2.45853128,337583882703.102
2020-12-01,1.3077927640909306,1.4406979927593417,0.0030645839098509945,0.0005032289965124091,2.63721867,364943559264.7621
2020-12-02,1.4753222958412533,1.0494623860172845,0.003221283663100488,0.0003392826952820883,2.51290662,349301709105.5422
2020-12-03,-0.06651052740137002,0.6655988434953989,0.002016055035803385,0.0001580686042243574,2.55197705,356634805528.82007
2020-12-04,-0.14290044282302414,0.16266642657290345,0.0019455257908209962,-4.9886193641971154e-05,2.57495934,361394948313.3676
2020-12-07,-1.8566641743067374,-0.11064030407182698,0.0006538515911166552,-0.00015955351058569245,2.54722977,359330296296.33527
2020-12-08,-0.5660352741751873,0.5189092721958368,0.0015990551288114024,8.926953009454668e-05,2.51748691,356115606012.0854
2020-12-09,-0.3827714875141588,-0.5545866695852528,0.0017351511321089354,-0.00033677498884059526,2.40341294,340515325198.1123
2020-12-10,0.6320875421935842,-0.2508155888910223,0.0024881405534288793,-0.0002188086821014554,2.422360712922,344870639715.8821
2020-12-11,0.7873910222842069,-0.4795108601665,0.0026145250843584373,-0.00030504886600851255,2.38235433,339689620040.4412
2020-12-14,-1.1605664741362423,0.7412304970426205,0.001154419057470247,0.00017258811709191878,2.46411643,355731616571.54486
2020-12-15,0.10217205196624062,1.1945949604646648,0.0020946703217275347,0.0003531397197421392,2.474236613553,358175636273.79315
2020-12-16,0.5686257594670485,0.8968994271914381,0.002455169859211243,0.00024327424320949007,2.48407194,360900992195.48114
2020-12-17,1.3739439579175867,1.2396666901728624,0.003068382795410299,0.00038920281461158533,2.70395115,396914973278.86566
2020-12-18,2.482291807685378,2.9073158065924773,0.003985406295162001,0.0011219606514554766,2.838980097189,423279795671.9302
2020-12-21,-1.462423054098394,-0.40939219575253305,0.0009045826021700124,-0.00025968565012209993,2.850832494921,437079507304.86615
2020-12-22,0.9349753890497245,1.2657598384379212,0.0027987632831643406,0.00044951884024006724,2.76690892,426117800653.2763
2020-12-23,0.9104722055060773,-2.1296875919282483,0.002795464587685096,-0.0009921848533837232,2.831513764707,441362670574.1378
2020-12-24,1.086298285995589,-3.195143365376315,0.0029256702427051732,-0.0015475808407431264,2.75180066,433031966997.9192
2020-12-28,1.077318136824091,2.6137016043023844,0.002928135795818046,0.0011440759518373692,3.033869719213,491157576017.431
2020-12-29,0.34081652678290525,0.13675140600118432,0.0023466351813734216,-1.73791466687859e-05,3.03336124,502492068165.2396
2020-12-30,0.1038115318541208,-1.206008145486171,0.002162016989973337,-0.0006593376566702485,3.00690895,506083309589.8401
2020-12-31,0.8265618975107321,-1.0066849140262932,0.002740359641287376,-0.0005737244822297722,3.14848763,536099036611.89905
2021-01-04,0.9882923090817247,2.737888548176667,0.0028815782081547028,0.00127637149184397,3.43360474,618623608665.4474
2021-01-05,2.061176868496791,0.4437301251324667,0.0037698444895459524,0.0001460387955977485,3.2392637,591225447115.9058
2021-01-06,0.6404036075456557,0.3506212814033169,0.0026554255438229293,0.00010230356146371443,3.40781574,632363459585.743
2021-01-07,0.6970305805236666,-0.7620249552779534,0.0027098825696746445,-0.00045556114586739363,3.60095708,681302148777.4781
2021-01-08,2.1380874355986634,0.6581945862365025,0.003914415917735727,0.00024709310255072864,3.742047073313,729171021092.3743
2021-01-11,-0.05584883685347261,1.4491856037876576,0.0021416231775942362,0.0006191312582120998,3.47615243,712797906122.6932
2021-01-12,2.3565480585979297,1.437586677265952,0.004169685206222052,0.0006232432755295173,3.17723254,655929285013.3878
2021-01-13,0.8746323884294218,-0.4484588232979172,0.002935539814594962,-0.0002538180760211162,3.024579234512,627003122628.9136
2021-01-14,0.004104536260772115,0.07548162592658864,0.0021974689107616546,-1.236819849460765e-05,3.31893271605,693697236158.0138
2021-01-15,0.4135158277596226,-0.7310204463633772,0.0025420789381276412,-0.00039248328658825357,3.43968572,726263096560.8242
2021-01-19,-0.6295160738278922,0.6516680228327596,0.0016744155311898404,0.0002581513860788828,3.16789734,680801989756.2803
2021-01-20,1.7572480316838193,2.387707536528316,0.0036967592575444857,0.0011187118499404946,3.12779915,674433161169.6399
2021-01-21,0.6074331740339264,1.1452081539072492,0.0027365592079066216,0.0005326908682831528,3.05640832,660796011360.799
2021-01-22,0.6495412464072118,-0.5059398926601261,0.0027867489655466825,-0.00026561897588316927,2.671999724485,577233663032.7885
2021-01-25,-1.7118712846886401,-0.14599891618583882,0.0007772413296578199,-9.270671777324285e-05,2.763770318383,599522055193.0248
2021-01-26,-0.01527000997241042,0.6147314830801918,0.002219526944573005,0.0002802801847911822,2.777191691556,603339325091.3531
2021-01-27,-0.25037030932075055,0.03421123245687436,0.002016258797571476,1.0352643235862378e-06,2.79160837,607483795108.3151
2021-01-28,0.9206213131159162,-0.3129264755579804,0.0030238606261956806,-0.00016422905719649768,2.58416695,565045318370.5283
2021-01-29,1.2181501269074586,0.7027167313809835,0.003300098459161273,0.00032838238209465084,2.83537151,623747780660.8578
2021-02-01,-1.0357978607969085,-1.180795232481081,0.001368201407640172,-0.0005926946816532638,2.77012967,617258425467.524
2021-02-02,-0.20538125340833557,-0.5259330470895809,0.0020763332819808,-0.00027758686127168697,2.798474060738,624961266006.2303
2021-02-03,-0.25551667096559644,0.6662699025445735,0.0020193317986712555,0.0003116731334928376,2.95247741,662710063272.541
2021-02-04,-0.1274338460628862,0.011889980530856298,0.0021286802418917774,-8.334957205582889e-06,3.10161426,699649284857.6385
2021-02-05,0.3556214386494354,-1.535798466587783,0.0025506646192248452,-0.0007768710096054814,3.046232040351,691323581111.5704
2021-02-08,-1.2440160256890789,-0.9764285365235975,0.0011880230209984977,-0.0005119918389356809,3.141200247585,726330767434.7867
2021-02-09,1.6704608837648784,1.6660220610298233,0.003678498202025221,0.0008160139530107856,3.65741696,858949072826.5892
2021-02-10,0.8050895390003628,-0.05809261089036127,0.0029504655779299884,-5.1175440217431807e-05,3.61855022,866928505326.4628
2021-02-11,0.379654158296761,1.0054443300702676,0.0025890555947191236,0.0004927321924720418,3.46683384,839590396720.4327
2021-02-12,-0.3633571298091129,-0.07254067835220096,0.001967878841635552,-4.932950698698285e-05,3.64585169,892053672305.5282
2021-02-16,-0.8956510664335202,-0.36158898512573695,0.0015130452064668247,-0.00019382819622609427,3.56148121,896282713832.7703
2021-02-17,-0.11620220678273073,0.8967414652468245,0.002178869414920179,0.00044234408656087035,3.6125173,915511120381.0225
2021-02-18,0.5945800511979721,0.7889896790195428,0.0027899538768710198,0.00039546243512857625,3.79432537,973022997734.0732
2021-02-19,-0.5950849910772937,-1.0456836005070962,0.0017744746497013852,-0.0005193400961649678,3.70969063,962356492673.0549
2021-02-22,0.8120717381724664,3.5614705752318914,0.002985297914440756,0.0019128942870764627,3.95810037,1071525228027.2616
2021-02-23,1.050652138063979,1.0299688328876442,0.0032039851410779648,0.0005716197948256364,3.68695731,1005442646562.84
2021-02-24,2.12920689004639,1.3513324528508306,0.004182284183106125,0.0007604855577402915,3.28933195,905003103158.0413
2021-02-25,0.24238182867822455,-1.3853538396414697,0.0025621098912442337,-0.0007314463148455269,3.32994398,923816728819.2362
2021-02-26,1.8357842305129732,0.7670250137391327,0.0039841194429028745,0.0004529924030672446,3.17682646,886602532433.4717
2021-03-01,-1.1378277688795015,0.5050525929812073,0.0014142472456069696,0.0003160477915711004,3.00886446,845557162612.1533
2021-03-02,-0.7580696989610948,-0.9337802585768786,0.0017394017218027376,-0.0004673815282908052,3.269931,925288521256.2085
2021-03-03,-0.3994980002992416,-0.6746497805462055,0.0020512257054780326,-0.00033115177327661165,3.17061495,900542565669.1765
2021-03-04,-0.7869642129056783,-0.521744939447038,0.00170445406807431,-0.0002546161018112099,3.3135168,945068375223.4531
2021-03-05,-0.7474814837300504,0.4096529910499843,0.001724611417295772,0.00025668063146087595,3.161905493951,903761087528.4237
2021-03-08,-1.4462460929800587,-0.06826476276001868,0.0011409159570871929,-2.929574453378444e-06,3.30549961,952634973107.2288
2021-03-09,-0.1770470851999309,-0.34529742296198657,0.002225413655379803,-0.00015292495267440467,3.35002291,971370359588.6669
2021-03-10,-0.5554237482635653,0.015713550152213613,0.001907966044329706,4.95168296301426e-05,3.49855563203,1020849011792.8512
2021-03-11,-0.7218778140021992,-0.07563387939327974,0.0017574465861854229,-2.3913177461276674e-06,3.56293331,1046579658341.0732
2021-03-12,-0.8430573782461039,-0.1257123311578946,0.0016450095715019812,-3.14521977844169e-05,3.63177042,1078915001902.6392
2021-03-15,0.2829774977424097,2.668310164265464,0.0026194010200259045,0.0015572431705484005,3.68484058,1117474232904.1155
2021-03-16,-0.6008017318949799,-0.5590478546642528,0.0018826040084885874,-0.0002419666339329803,3.43735753,1046930473230.8708
2021-03-17,-0.5807777062553848,-0.18740167858750262,0.0018949004774942736,-3.091522641455999e-05,3.44231318,1054059319176.5367
2021-03-18,-0.550731296446502,-0.48128724895538094,0.0019196956538160323,-0.00018880471806496235,3.55383882,1094827655431.387
2021-03-19,-0.3702755448280638,0.410509484937393,0.0020563045780384085,0.00029488306781634083,3.48651656,1077129119414.3888
2021-03-22,-2.1206394826926873,-2.5912828167498545,0.0005987503055364369,-0.0014011199705434064,3.440164039174,1072003269491.2437
2021-03-23,-0.8441264625481919,-1.2826102877396095,0.0016460378383873955,-0.0006655149479741685,3.25092326,1016170477565.7162
2021-03-24,0.8649273971581245,-0.08156421736314581,0.003078021755986037,1.3905810552212754e-05,3.23614304,1018286990169.8544
2021-03-25,-0.5455233102129607,-0.17957679000125393,0.001893014061796167,-4.0879272282871617e-05,3.11041886,981605643201.5552
2021-03-26,0.49476127703438466,-0.0696589775032758,0.002769063575483724,2.651861233231408e-05,3.03612207,962090739266.12
2021-03-29,-2.0485321627371538,-0.14096828550229523,0.0006363940063374135,-8.712897765906186e-06,3.24472988,1040002658248.1864
2021-03-30,-0.38968023104161237,-0.1287166770491253,0.002025782643806987,2.8227123305537856e-06,3.33795673,1074744167036.5872
2021-03-31,-0.6394205388778839,0.4877486042807068,0.0018044639019088697,0.00034122673288677625,3.38330063,1095581166692.6075
2021-04-01,-0.5917532432772531,-0.294803834666043,0.001830801141615582,-9.226054555220918e-05,3.375535019449,1097648506570.546
2021-04-05,-1.5907794419348569,-0.5674521538255256,0.000970871554917418,-0.0002472289815552036,3.298301283114,1086837744784.4452
2021-04-06,-0.8656404091489518,-0.31416897215168943,0.001592223684811661,-0.00010719489183316583,3.32023402,1097233663848.4355
2021-04-07,0.11001057314097766,-0.9184209394341579,0.0024112067280247823,-0.00045338377541588067,3.22914317,1084740698496.7766
2021-04-08,-0.2964728020332824,-0.48487383997217653,0.002061148639070141,-0.00021558664308096975,3.12214094,1050858458013.2948
2021-04-09,-0.8991082579989573,-0.6409993836117724,0.0015454187493588948,-0.0003121601325569415,3.2057806,1082591596128.1456
2021-04-12,-1.1112681768735284,0.8130425986184083,0.0013798991648994055,0.0004954687912439314,3.28353702,1119547961330.9443
2021-04-13,-0.33321022347205176,0.09745619481307516,0.0020015998444576108,9.661775759066726e-05,3.26759859,1119097619041.5125
